Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2015.01.30,Bull Shark,"no injury, shark's teeth scratched hull",N,Y,Male,57,Rowing,Australia,Queensland,2015,30-Jan-15,05h00,Boat,"Gold Coast Bulletin, 1/31/2015"
2015.02.14,Tiger Shark,fatal,Y,Y,Female,22,Swimming,Reunion,DÉtang-Salé,2015,14-Feb-15,18h30,Unprovoked,"L'Yonne Républicaine, 2/14/2015"
2015.02.15,White Shark,"no injury, shark bit rudder",N,Y,NA,NA,Transatlantic Rowing,Atlantic Ocean,Na,2015,15-Feb-15,NA,Boat,"Yorkshire Post, 3/16/2014"
2015.03.07,Blacktip Shark,thigh bitten,N,Y,Male,NA,Sitting In The Water,French Polynesia,Central Tuamotu,2015,07-Mar-15,NA,Unprovoked,"Radio1, 3/9/2015"
2015.03.16,Blacktip Shark,hand bitten,N,Y,Male,9,Hand Feeding Sharks,French Polynesia,Bora Bora,2015,16-Mar-15,10h00,Unprovoked,"Radio1, 3/16/2015"
2015.03.18,Tiger Shark,lacerations to left forearm. lacerations to left hand and thigh,N,Y,Male,58,Standing / Snorkeling,USA,Hawaii,2015,18-Mar-15,11h45,Unprovoked,"KMBC, 3/19/2015"
2015.03.26,White Shark,no injury but kayak bitten,N,Y,Male,36,Kayak Fishing,South Africa,Eastern Cape Province,2015,26-Mar-15,NA,Boat,"Times Live, 4/1/2015"
2015.04.03,Bull Shark,injuries to head and torso,N,Y,Male,70,Spearfishing,USA,Florida,2015,03-Apr-15,Afternoon,Unprovoked,"ABC Action News, 4/6/2015"
2015.04.12,Bull Shark,fatal,Y,Y,Male,13,Surfing,Reunion,Saint-Gilles-Les-Bains,2015,12-Apr-15,09h00,Unprovoked,"Le Huffington Post, 4/15/2015"
2015.04.13,Blue Shark,lacerations to shoulder and left bicep,N,Y,Male,48,Photographing The Shark,USA,Florida,2015,13-Apr-15,NA,Unprovoked,"Miami Herald, 4/25/2015"
