Case Number,Species,Type of Injury,Fatal:Yes or No,Unprovoked attack,Sex,Age,Activity,Country,Area,Year,Date,Time,Type,Investigation
2008.04.25,White Shark,fatal,Y,Y,Male,66,Swimming,USA,California,2008,25-Apr-08,07h00,Unprovoked,R. Collier
2008.04.26.b,Bull Shark,lacerations to left foot,N,Y,Male,32,Swimming,New Caledonia,North Province,2008,26-Apr-08,Morning,Unprovoked,"Les Nouvelles Calédonie, 4/28/2008 & 4/29/2008"
2008.04.28.b,Tiger Shark,fatal    severe bite to right thigh,Y,Y,Male,24,Surfing,Mexico,Guerro,2008,28-Apr-08,Afternoon,Unprovoked,Surfline.com
2008.05.07.b,Bull Shark,lower legs bitten,N,Y,Male,40,Fishing,New Caledonia,North Province,2008,07-May-08,14h00,Unprovoked,"C. Johansson, GSAF"
2008.05.10,White Shark,severe lacerations to left leg,N,Y,Male,37,Swimming,Australia,Western Australia,2008,10-May-08,07h30,Unprovoked,"Perth Now, 5/10/2008"
2008.05.24.b,Tiger Shark,boat capsized in squall. 2 bodies scavenged  by sharks,N,Y,Male,NA,Sea Disaster,Bahamas,Grand Bahama Island,2008,24-May-08,NA,Sea Disaster,Associated Press
2008.06.01.a,Bull Shark,"hand severed, buttocks bitten",N,Y,Male,14,Swimming,Brazil,Pernambuco,2008,01-Jun-08,15h00,Unprovoked,Associated Press
2008.06.21,White Shark," no injury. shark bumped kayak, flinging her into the  water. ",N,Y,Female,40,Kayaking,USA,California,2008,21-Jun-08,09h00,Unprovoked,"R. Collier, GSAF"
2008.06.26.R,White Shark,no injury,N,Y,Male,NA,Spearfishing (Free Diving),South Africa,Western Cape Province,2008,Reported 26-Jun-2008,NA,Unprovoked,D. Inggs; Gletwyn Rubidges Spearfishing and Freediving blog
2008.06.28.a,White Shark,"no injury, ski bitten",N,Y,Male,46,Surf Skiing ,South Africa,Western Cape Province,2008,28-Jun-08,14h00,Unprovoked,
2008.06.28.b,Bull Shark,lacerations to calf,N,Y,Male,42,Spearfishing,Bahamas,Abaco Islands,2008,28-Jun-08,11h00,Unprovoked,"M. Briggs; C. Johansson, GSAF"
2008.07.18,White Shark,leg severed,N,Y,Male,NA,Diving,Egypt,Na,2008,18-Jul-08,NA,Unprovoked,Ocean7
2008.07.30,White Shark,lacerations to fingers,N,Y,Male,NA,Na,South Africa,Na,2008,Reported 30-Jul-2008,NA,Unprovoked,http://www.youtube.com/watch?v=0jVJFXlapWY&feature=related
2008.07.30.R,White Shark,"no injury, surfboard leash severed",N,Y,Male,31,Surfing,Australia,Victoria,2008,30-Jul-08,10h30,Unprovoked,"Herald Sun, 7/31/2008"
2008.08.11,Tiger Shark,"no injury, shark grabbed his bag of fish",N,Y,Male,NA,Diving,USA,Hawaii,2008,11-Aug-08,14h00,Unprovoked,"Honolulu Advertiser, 8/13/2008"
2008.08.16,Bull Shark,severe lacerations to left foot,N,Y,Female,38,Treading Water,USA,Us Virgin Islands,2008,16-Aug-08,Dusk,Unprovoked,"M. Levne, GSAF"
2008.08.30.a,Blue Shark,wrist bitten by hooked shark provoked incident,N,N,Male,52,Fishing,England,North Devon,2008,30-Aug-08,NA,Provoked,"Telegraph.co.uk, 9/1/2008"
2008.09.08,White Shark,"no injury to surfer, board bitten",N,Y,Male,NA,Surfing,USA,California,2008,08-Sep-08,10h30,Unprovoked,R. Collier
2008.09.09,Tiger Shark,bitten on right thigh and calf,N,Y,Male,40,Surfing,USA,Hawaii,2008,09-Sep-08,16h30,Unprovoked,"Honolulu Advertiser, 9/10/08"
2008.09.15,Bronze Whaler Shark,right hand lacerated by netted shark provoked incident,N,N,Male,43,Swimming,Australia,Northern Territory,2008,15-Sep-08,14h30,Provoked,"Northern Territory News, 9/18/2008"
2008.10.06,White Shark,calf bitten,N,Y,Male,43,Spearfishing,Croatia," Split-Dalmatia Count,",2008,06-Oct-08,12h00,Unprovoked,A. De Maddalena
2008.10.21,Lemon Shark,legs bitten,N,Y,Male,24,Spearfishing,New Caledonia,Na,2008,21-Oct-08,11h00,Unprovoked,"C. Johansson, GSAF"
2008.10.22,Nurse Shark,small laceration to head from captive shark,N,N,Male,34,Scuba Diving,Australia,New South Wales,2008,22-Oct-08,17h20,Provoked,"Herald, 10/22/2008"
2008.11.09.b,Bronze Whaler Shark,"no injury to occupant, shark bit dinghy and motor",N,Y,Male,NA,Fishing,Australia,South Australia,2008,09-Nov-08,NA,Boat,"C. Johansson, GSAF"
2008.11.28,White Shark,lacerations to fingers,N,Y,Female,NA,Scuba Diving,Egypt,Red Sea,2008,28-Nov-08,Morning,Unprovoked,"E. Ritter, GSAF"
2008.12.00,Zambesi Shark,fatal,Y,Y,Male,NA,Spearfishing,Mozambique,Inhambane Province,2008,Dec-08,NA,Unprovoked,J. Little
2008.12.06,White Shark,shark bit boats sea anchor,N,Y,NA,NA,Fishing,Australia,New South Wales,2008,06-Dec-06,Morning,Boat,S. Chenhall
2008.12.10,Raggedtooth Shark,"lacerations to knees, thigh and hip by hooked shark provoked incident  ",N,N,Male,15,Fishing,South Africa,Western Cape Province,2008,10-Dec-08,20h00,Provoked,"The Herald, 12/12/2008"
2008.12.14,Bronze Whaler Shark,lacerations to left calf and ankle,N,Y,Male,NA,Fishing,New Zealand,North Island,2008,14-Dec-08,NA,Unprovoked,"R.D. Weeks, GSAF"
2008.12.20,White Shark,"no injury, shark struck paddle",N,Y,Male,NA,Kayaking,USA,California,2008,20-Dec-08,15h00,Unprovoked,R. Collier
2008.12.27.a,White Shark,fatal,Y,Y,Male,51,Snorkeling,Australia,Western Australia,2008,27-Dec-08,07h00,Unprovoked,"T. Peake, GSAF"
2008.12.27.b,White Shark,"no injury, shark struck kayak, catapulting him into the water",N,Y,Male,29,Kayaking,Australia,New South Wales,2008,27-Dec-08,11h00,Unprovoked,"Canberra Times, 12/28/2008"
2009.01.00,Bull Shark,lacerations to right calf,N,Y,NA,NA,Spearfishing,Cuba,Guantanamo Province,2009,Jan-09,NA,Unprovoked,"C. Johansson, GSAF"
2009.01.11.a,White Shark,left thigh severely bitten,N,Y,Male,31,Surfing,Australia,New South Wales,2009,11-Jan-09,09h00,Unprovoked,"T. Peake, GSAF"
2009.01.11.b,White Shark,severe lacerations to right leg,N,Y,Female,13,Surfing,Australia,Tasmania,2009,11-Jan-09,15h45,Unprovoked,"P. Kemp, GSAF; C. Black pp. 169-177"
2009.01.18,White Shark,"no injury to occupants, shark bit propeller",N,Y,Male,NA,Fishing,Australia,Victoria,2009,18-Jan-09,09h20,Boat,"The Standard, 1/20/2009"
2009.01.24.a,Tiger Shark,fatal,Y,Y,Male,25,Swimming,South Africa,Eastern Cape Province,2009,24-Jan-09,14h00,Unprovoked,"Daily Dispatch, 1/26/2009"
2009.01.25,Bull Shark,severe lacerations to lower left leg,N,Y,Male,15,Spearfishing,Cuba,Guantanamo Province,2009,25-Jan-09,10h30,Unprovoked,"J. Emory; Caribbean Net,  4/142009"
2009.02.07.b,White Shark,"no injury, surfboard dented",N,Y,Male,41,Surfing,Australia,New South Wales,2009,07-Feb-09,11h00,Unprovoked,"D. Keg; Herald Sun, 2/8/2009"
2009.02.11,Bull Shark,severe injuries to right hand and right thigh. right hand  surgically amputated and his right leg a week later,N,Y,Male,31,"Diving, But On The Surface When Bitten By The Shark",Australia,New South Wales,2009,11-Feb-09,Before 07h00,Unprovoked,"ABC News, 2/11/2009"
2009.02.12,White Shark,severe injury to hand ,N,Y,Male,33,Surfing,Australia,New South Wales,2009,12-Feb-09,19h30,Unprovoked,The Sydney Morning Herald 2/24/2009
2009.03.02,Blue Shark,lacerations to arm and 2 fingers by hooked shark provoked incident,N,N,Male,40,Fishing,South Africa,Western Cape Province,2009,02-Mar-09,13h30,Provoked,"Cape Times, 3/3/2009"
2009.03.17.R,Blacktip Shark,minor injury,N,Y,Female,NA,Feeding Fish,Malaysia,Strait Of Malacca,2009,Reported 17-Mar-2009,NA,Unprovoked,"C. Johansson, GSAF"
2009.03.20,Bronze Whaler Shark,"laceration to right foot, puncture wounds to calf",N,Y,Male,17,Surfing,Australia,New South Wales,2009,20-Mar-09,18h45,Unprovoked,"Madurah Mail, 3/26/2009"
2009.03.27,Raggedtooth Shark,calf bitten while helping angler measure the shark during fishing competition provoked incident,N,N,Male,59,Fishing ,South Africa,Eastern Cape Province,2009,27-Mar-09,NA,Provoked,"The Herald (Port Elizabeth), 3/27/2007"
2009.04.06.a,White Shark,shark struck him but the diver was not injured,N,Y,Male,NA,Spearfishing,USA,California,2009,06-Apr-09,07h45,Unprovoked,R. Collier
2009.05.12,Blacktip Shark,speared shark bit his forearm provoked incident,N,N,Male,27,Spearfishing,Guam,North Region,2009,12-May-09,Afternoon,Provoked,"N. Delgado, Pacific News Center; KUAM.com"
2009.05.16.a,Blacktip Shark,lacerations to right hand,N,Y,Male,55,Surfing,USA,Florida,2009,16-May-09,10h16,Unprovoked,"S. Petersohn, GSAF"
2009.05.16.b,Blacktip Shark,lacerations to right foot,N,Y,Male,49,Surfing,USA,Florida,2009,16-May-09,10h27,Unprovoked,"S. Petersohn, GSAF"
2009.05.17,Blacktip Shark,lacerations to left leg and foot,N,Y,Male,31,Surfing,USA,Florida,2009,17-May-09,09h35,Unprovoked,"S. Petersohn, GSAF"
2009.06.01,White Shark,fatal,Y,Y,Female,50,Snorkeling,Egypt,St. Johns Reef,2009,01-Jun-09,Morning,Unprovoked,"A. Hamada; E.Ritter, GSAF"
2009.06.02.a,White Shark,3 cm laceration to shoulder,N,Y,Male,NA,Scuba Diving,Egypt,St. Johns Reef,2009,02-Jun-09,NA,Unprovoked,"E. Ritter, GSAF"
2009.06.02.b,White Shark,lacerations to left hand,N,Y,Male,NA,Scuba Diving,Egypt,St. Johns Reef,2009,02-Jun-09,NA,Unprovoked,"E. Ritter, GSAF"
2009.06.14.R,White Shark,hand bitten by hooked shark provoked incident,N,N,Male,NA,Fishing For Sharks,Vietnam,Na,2009,Reported 14-Jun-2009,NA,Provoked,"Tin Tuc online, 6/14/2009"
2009.06.27,Bronze Whaler Shark,2-inch laceration to upper left arm,N,Y,Male,52,Surfing,Australia,New South Wales,2009,27-Jun-09,08h45,Unprovoked,"Brisbane Times, 6/28/2009"
2009.07.04,Nurse Shark,thigh injured by hooked shark provoked incident,N,N,Female,43,Swimming,USA,Florida,2009,04-Jul-09,15j45,Provoked,"Miami Herald, 7//4/2009"
2009.07.11.b,Caribbean Reef Shark,leg bitten by shark that had been shot in the head by another diver provoked incident,N,N,Male,NA,Spearfishing,Bahamas,Na,2009,11-Jul-09,NA,Provoked,"Fox News, 7/14/2009"
2009.07.31,Bull Shark,lacerations to calf,N,Y,Male,14,Spearfishing,Bahamas,Abaco Islands,2009,31-Jul-09,NA,Unprovoked,WPTV.com
2009.08.01,Bull Shark,right ankle and foot bitten,N,Y,Male,56,Wade Fishing,USA,Louisiana,2009,01-Aug-09,10h00,Unprovoked,Clarion Ledger
2009.08.06,Tiger Shark,"no injury, surfboard bitten",N,Y,Male,NA,Surfing,USA,Hawaii,2009,06-Aug-09,08h45,Unprovoked,"Big Island Weekly, 8/19/2009"
2009.08.11,White Shark,"no injury, shark bit bodyboard",N,Y,Male,NA,Body Boarding,South Africa,Kwazulu-Natal,2009,11-Aug-09,Lunchtime,Unprovoked,Zululand Observer
2009.08.25,White Shark,puncture wounds to left foot and calf,N,Y,Female,22,Swimming,USA,California,2009,25-Aug-09,16h30,Unprovoked,"R. Collier, GSAF"
2009.08.29,White Shark,fatal,Y,Y,Male,25,Surfing,South Africa,Western Cape Province,2009,29-Aug-09,15h30,Unprovoked,"Cape Argus, 8/30/2009, p.1"
2009.09.26,Bull Shark,laceration to right foot,N,Y,Male,NA,Swimming,USA,Florida,2009,26-Sep-09,17h30,Unprovoked,keysnet.com
2009.10.14.R,Bull Shark,severe lacerations to lower right leg,N,Y,Male,23,Diving,Australia,Western Australia,2009,Reported 14-Oct-2009,NA,Unprovoked,"BBC News, 10/19/2009"
2009.10.29.R,Zambesi Shark,left ankle and foot bitten,N,Y,Male,NA,Spearfishing,Mozambique,Inhambane Province,2009,Reported 29-Oct-2009,NA,Unprovoked,R. Allen; J. Little
2009.10.30,White Shark,"no injury, shark bit kayak",N,Y,Male,27,Kayaking,Australia,Victoria,2009,30-Oct-09,Morning,Unprovoked,"The Age, 10/31/2009"
2009.12.06,Tiger Shark,lacerations and puncture wounds to right calf and ankle when diver accidentally backed into the shark  provoked incident,N,N,Male,58,Diving,USA,New Jersey,2009,05-Dec-09,13h00,Provoked,"R. Large; Philadelphia Daily News, 4/22/2010"
2009.12.12,White Shark,no injury to occupants; shark bit steering oar,N,Y,NA,NA,Rowing,Australia,New South Wales,2009,12-Dec-09,07h30,Boat,"Herald Sun, 12/13/2009"
2009.12.16,White Shark,fatal,Y,Y,Male,24,Swimming To Shore From Capsized Kayak,New Zealand,South Island,2009,16-Dec-09,NA,Unprovoked,"R.D. Weeks, GSAF"
2009.12.20.a,Bull Shark,lacerations to hand and forearm,N,Y,Male,18,Spearfishing,Australia,Queensland,2009,20-Dec-09,07h30,Unprovoked,"Brisbane Times, 12/20/2009"
2009.12.22,Zambesi Shark,multiple lacerations to right torso and arm. defense wounds on  hands,N,Y,Male,27,Swimming,Mozambique,Maputo Province,2009,22-Dec-09,16h30,Unprovoked,"Beeld, 12/29/2009"
2010.01.09.d,White Shark,2 sets of minor lacerations below her right knee,N,Y,Female,9,Snorkeling,Australia,Torres Strait,2010,09-Jan-10,NA,Unprovoked,"Courier-Mail, 1/10/2009"
2010.01.12,White Shark,fatal,Y,Y,Male,37,Standing,South Africa,Western Province,2010,12-Jan-10,15h15,Unprovoked,"L. Cohen, Times Live, 1/12/2010"
2010.01.30,Hammerhead Shark,foot bitten,N,Y,Male,29,Surfing,Brazil,Rio Grande Do Sul,2010,31-Jan-10,NA,Unprovoked,"C. Eksander, GSAF"
2010.02.06.b,White Shark,"no injury, shark and board collided",N,Y,Male,18,Body Boarding,Australia,New South Wales,2010,06-Feb-10,15h30,Unprovoked,"K. Matthews, Lismore Northern Star, 2/10/2010"
2010.02.19,Blue Shark,bruised but otherwise unhurt,N,Y,Male,NA,Swimming,New Zealand,South Island,2010,190Feb-2010,Night,Unprovoked,"Nelson Mail, 2/23/2010"
2010.04.04,White Shark,lacerations to left ankle and foot,N,Y,Male,24,Swimming / Treading Water,Egypt,Sinai Peninsula,2010,04-Apr-10,14h00,Unprovoked,"J. Elliott; Blackpool Gazette, 4/16/2010"
2010.04.28,Lemon Shark,arm bitten provoked incident ,N,N,Male,29,Measuring Sharks,USA,Florida,2010,28-Apr-10,Afternoon,Provoked,"D. Guevara, WSVN-TV, 4/28/2010"
2010.05.30,Lemon Shark,laceration to left calf by hooked shark provoked incident,N,N,Male,49,Fishing,USA,Florida,2010,30-May-10,08h45,Provoked,tbo.com
2010.06.27,Bull Shark,lacerations to right foot,N,Y,Male,20,Surfing,USA,Texas,2010,27-Jun-10,NA,Unprovoked,KMBC
2010.07.03,Blue Shark,laceration to right bicep by hooked shark provoked incident,N,N,Male,20,Fishing,USA,New York,2010,03-Jul-10,12h30,Provoked,NBC
2010.07.11,Nurse Shark,small laceration to forearm from netted shark  provoked incident,N,N,Male,NA,Fishing,USA,Florida,2010,11-Jul-10,NA,Provoked,"News 7, 7/13/2010"
2010.07.17.b,Tiger Shark,lacerations to right forearm,N,Y,Female,13,Swimming,USA,North Carolina,2010,17-Jul-10,13h30,Unprovoked,"C. Creswell, GSAF"
2010.07.19,Blacktip Shark,minor lacerations to left calf,N,Y,Male,10,Swimming,USA,South Carolina,2010,19-Jul-10,10h35,Unprovoked,"C. Creswell, GSAF"
2010.08.02.b,White Shark,"no injury, kayak bitten",N,Y,Male,NA,Kayaking,USA,California,2010,02-Aug-10,12h40,Unprovoked,"R. Collier, GSAF"
2010.08.14,White Shark,"no injury, kayak bitten",N,Y,Male,45,Kayak Fishing,USA,California,2010,14-Aug-10,NA,Unprovoked,"Mercury News, 8/15/2010"
2010.08.17,White Shark,fatal,Y,Y,Male,31,Surfing,Australia,Western Australia,2010,17-Aug-10,08h05,Unprovoked,"The Australian, 8/17/2010"
2010.09.21,White Shark,fatal,Y,Y,Male,29,Swimming,South Africa,Western Cape Province,2010,21-Sep-10,NA,Unprovoked,"Cape Argus, 9/25/2010"
2010.09.27,White Shark,"no injury, surfboard rammed",N,Y,Male,29,Surfing,USA,Oregon,2010,27-Sep-10,16h00,Unprovoked,R. Collier
2010.10.02.a,Lemon Shark,bitten between left ankle and knee,N,Y,Female,NA,Surfing,Bahamas,Abaco Islands,2010,02-Oct-10,15h00,Unprovoked,"The Tribune, 10/4/2010"
2010.10.02.b,Lemon Shark,calf bitten,N,Y,Male,NA,Snorkeling,Bahamas,Exuma Islands,2010,02-Oct-10,NA,Unprovoked,Sharksurvivors.com
2010.10.09,Bull Shark,foot bitten,N,Y,Male,22,Surfing,Australia,New South Wales,2010,09-Oct-10,13h30,Unprovoked,"The Coffs Coast Advocate, 10/16/2010"
2010.10.22,White Shark,fatal,Y,Y,Male,19,Body Boarding,USA,California,2010,22-Oct-10,08h50,Unprovoked,R. Collier
2010.10.30,White Shark,torso and left buttock bitten,N,Y,Female,20,Snorkeling,Australia,Western Australia,2010,30-Oct-10,12h30,Unprovoked,"Perth Now, 10/30/2010"
2010.11.12.R,White Shark,no injury to occupant. shark rammed bottom of the boat,N,Y,Male,NA,Fishing,Australia,Western Australia,2010,Reported 12-Nov-2010,Night,Boat,R. Hidding
2010.11.30.a,White Shark,foot and arm bitten,N,Y,Female,48,Snorkeling,Egypt,South Sinai Peninsula,2010,30-Nov-10,14h40,Unprovoked,"M. Levine, R. Collier, E. Ritter, M. Fouda, et al"
2010.11.30.b,White Shark,"foot severed, right forearm severed, lacerations to left hand (defense wounds)",N,Y,Female,70,Snorkeling,Egypt,South Sinai Peninsula,2010,30-Nov-10,14h55,Unprovoked,"M. Levine, R. Collier, E. Ritter, M. Fouda, et al"
2010.12.05,White Shark,fatal,Y,Y,Female,70,Snorkeling,Egypt,South Sinai Peninsula,2010,05-Dec-10,12h00,Unprovoked,"M. Levine, R. Collier, E. Ritter, M. Fouda, et al"
2011.01.03,White Shark,"no injury, shark nudged boat and bit propeller",N,Y,NA,NA,Fishing,Australia,Western Australia,2011,03-Jan-11,12h00,Boat,"S. Gordon, Sky News, 1/4/2011"
2011.01.26,Caribbean Reef Shark,arm bitten ,N,Y,Male,55,Scuba Diving,Bahamas,West End,2011,26-Jan-11,15h00,Unprovoked,J. Abernethy
2011.02.17,White Shark,fatal,Y,Y,Male,49,Diving For Abalone,Australia,South Australia,2011,17-Feb-11,18h20,Unprovoked,"T. Peake, GSAF"
2011.02.28.R,Bull Shark,lacerations to right hand by hooked shark provoked incident,N,N,Male,36,Fishing,Australia,Queensland,2011,Reported 28-Feb-2011,10h45,Provoked,"C. Eksander, GSAF"
2011.03.23,Bull Shark,severe injury to left forearm,N,Y,Male,48,Surfing,Australia,New South Wales,2011,23-Mar-11,17h45,Unprovoked,"Nine News, 3/24/2011"
2011.03.24,Bull Shark,lower leg and foot bitten,N,Y,Female,NA,Swimming,Mexico,Quintana Roo,2011,24-Mar-11,NA,Unprovoked,"Canadian press, 3/25/2011"
2011.03.29.R,Blacktip Shark,minor laceration to shoulder from captive shark provoked incident,N,N,Male,NA,"Standing, Holding Shark Pup",USA,Texas,2011,Reported 29-Mar-2011,NA,Provoked,"You Tube, Baby Blacktip Shark Attack - How NOT to hold a shark."
2011.04.12,Bull Shark,lacerations to forearm,N,Y,Male,NA,Surfing,Indonesia,Bali,2011,13-Apr-11,Morning,Unprovoked,"A.Brenneka, SharkAttackSurvivors.com"
2011.04.16,Bronze Whaler Shark,puncture to left hand,N,Y,Male,41,Surfing,New Zealand,South Island,2011,16-Apr-11,Afternoon,Unprovoked,"R.D. Weeks, GSAF"
2011.04.26,Bull Shark,calf bitten,N,Y,Male,32,Spearfishing,USA,Florida,2011,26-Apr-11,NA,Unprovoked,"J. Wigham III, Palm Beach Post, 4/27/2011"
2011.05.21.b,Zambesi Shark,"thigh bitten, fatal",Y,Y,Male,28,Spearfishing,South Africa,Kwazulu-Natal,2011,21-May-11,Midday,Unprovoked,"News 24, 5/21/2011"
2011.05.21.a,Tiger Shark,"thigh bitten, fatal",Y,Y,Male,15,Kite Boarding,New Caledonia,North Province,2011,21-May-11,11h00,Unprovoked,"Radio New Zealand & Les Nouvelles Caledoniennes, 5/23/2011"
2011.05.22,Tiger Shark,"no injury, board bitten",N,Y,Female,NA,Paddle Boarding,USA,Hawaii,2011,22-May-11,12h00,Unprovoked,"Hawaii News Now, 5/22/2011"
2011.05.25,Tiger Shark,"no injury, board bitten",N,Y,Female,NA,Surfing,USA,Hawaii,2011,25-May-11,13h15,Unprovoked,"Star Advertiser, 5/26/2011"
2011.05.29,White Shark,"no injury, board bumped by shark",N,Y,Male,33,Surfing,South Africa,Western Cape Province,2011,29-May-11,NA,Unprovoked,"The George Herald, 5/30/2011"
2011.06.01,Blacktip Shark,laceration to dorsum of right foot,N,Y,Female,NA,Snorkeling,Malaysia,Kedah,2011,01-Jun-11,NA,Unprovoked,meglognature.blogspot.com
2011.06.12,Blacktip Shark,lacerations to right calf,N,Y,Male,28,Scuba Diving,USA,Florida,2011,12-Jun-11,14h30,Unprovoked,"WPTV, 6/13/2011"
2011.06.14.R,White Shark,"no injury, shark slammed into boat",N,Y,NA,NA,Fishing,United Kingdom,Cornwall,2011,Reported 14-Jun-2011,NA,Boat,"G. Box-Turnbull, Daily Mirror, 6/14/2011"
2011.06.24,White Shark,shark leapt onto surfboard; surfer uninjured ,N,Y,Male,NA,Surfing,USA,California,2011,24-Jun-11,13h30,Unprovoked,R. Collier
2011.06.26,Bull Shark,ankle bitten,N,Y,Female,10,Playing In The Surf,USA,North Carolina,2011,26-Jun-08,Afternoon,Unprovoked,C. Creswell & G. Hubbell
2011.07.22,White Shark,upper left arm and right leg bitten,N,Y,Male,29,Surfing,South Africa,Eastern Cape Province,2011,22-Jul-11,10h00,Unprovoked,"Zigzag, 7/22/2011"
2011.08.16.a,Bull Shark,fatal,Y,Y,Male,30,Swimming Or Snorkeling,Seychelles,Praslin,2011,16-Aug-11,16h30,Unprovoked,"P. Cahalan, The Independent, 8/17/2011"
2011.08.16.c,Grey Shark,"no injury, board bitten",N,Y,Male,32,Surfing,French Polynesia,Society Islands,2011,16-Aug-11,15h30,Unprovoked,Sharksurvivors.com
2011.08.17.c.,Tiger Shark,lacerations to foot,N,Y,Female,NA,Wading,USA,North Carolina,2011,17-Aug-11,17h00,Unprovoked,C. Creswell
2011.08.23,White Shark,fatal,Y,Y,Male,49,Surfing,South Africa,Western Cape Province,2011,23-Aug-11,09h11,Unprovoked,"News24, 8/23/2011"
2011.09.04.a,White Shark,fatal,Y,Y,Male,21,Body Boarding,Australia,Western Australia,2011,04-Sep-11,13h26,Unprovoked,"Sunshine Coast Daily, 9/5/2011"
2011.09.11.a,Tiger Shark,lacerations to right leg,N,Y,Male,30,Kite Surfing,Papua New Guinea,Central Province,2011,11-Sep-11,Afternoon,Unprovoked,"Sydney Morning Herald, 9/12/2011"
2011.09.24.b,Bull Shark,laceration to left thigh,N,Y,Male,21,Spearfishing,USA,Florida,2011,24-Sep-11,15h00,Unprovoked,"Herald Tribune, 9/24/2011"
2011.09.28.a,White Shark,"right leg severed, left leg lacerated",N,Y,Male,43,Swimming,South Africa,Western Cape Province,2011,28-Sep-11,12h25,Unprovoked,"News 24, 9/29/2011"
2011.10.20,White Shark,"no injury, shark bit surfboard",N,Y,Male,41,Surfing,USA,Oregon,2011,20-Oct-11,NA,Unprovoked,R. Collier
2011.10.22,White Shark,fatal,Y,Y,Male,32,Diving,Australia,Western Australia,2011,22-Oct-11,13h25,Unprovoked,"Sky News, 10/22/2011"
2011.10.28.,Raggedtooth Shark,arm bitten by captive shark provoked incident,N,N,NA,NA,Diving,South Africa,Kwazulu-Natal,2011,  29-Oct-2011,NA,Provoked,"Durban Radio, 10/29/2011"
2011.10.29.,White Shark,"lacerations to right wrist, foream and neck",N,Y,Male,27,Surfing,USA,California,2011,  29-Oct-2011,NA,Unprovoked,R. Collier
2011.11.22,White Shark,"no injury, kayak bitten",N,Y,Male,NA,Kayaking,USA,California,2011,22-Nov-11,NA,Unprovoked,R. Collier
2011.12.11,White Shark,5 puncture wounds to thigh,N,Y,Male,51,Surfing,Australia,New South Wales,2011,11-Dec-11,05h45,Unprovoked,"Daily Examiner, 12/11/2011"
2012.01.02,Tiger Shark,"no injury, punctures to swim fin",N,Y,Male,34,Spearfishing,Australia,Queensland,2012,02-Jan-12,09h00,Unprovoked,"A. Brenneka, goldcoast.com.au, 1/3/2012"
2012.01.13,White Shark,"no injury, surfboard damaged",N,Y,Male,53,Surfing,USA,Oregon,2012,13-Jan-12,NA,Unprovoked,R. Collier
2012.01.15,Bull Shark,fatal,Y,Y,Male,25,Swimming,South Africa,Eastern Cape Province,2012,15-Jan-12,15h40,Unprovoked,"News 24, 1/15/2012; R. Bonorchis, Bloomberg News, 1/16/2012"
2012.01.18.a,White Shark,lacerations to thigh,N,Y,Male,44,Surfing,Australia,New South Wales,2012,18-Jan-12,16h45,Unprovoked,V. Peddemors
2012.01.18.b,Blue Shark,bitten on left thigh     provoked accident,N,N,Male,24,Fishing,Taiwan,Taitung ,2012,18-Jan-12,NA,Provoked,Taiwan television
2012.01.19,Tiger Shark,lacerations to right forearm,N,Y,Male,26,Snorkeling,Australia,Western Australia,2012,19-Jan-12,Afternoon,Unprovoked,"Sydney Morning Herald, 1/20/2012"
2012.01.22.R,Tiger Shark,"no injury, shark grabbed his camera",N,Y,Male,NA,"Diving, Photographing Sharks",Bahamas,Na,2012,Reported 22-Jan-2012,NA,Unprovoked,"Evening Chronicle, 1/23/2012"
2012.02.20,White Shark,"no injury to occupants, boat damaged",N,Y,NA,NA,Fishing,South Africa,Western Cape Province,2012,20-Feb-12,NA,Boat,"Cape Argus, 2/21/2012"
2012.02.25,Nurse Shark,laceration to left foot,N,Y,Male,NA,Fishing,Australia,New South Wales,2012,25-Feb-12,16h00,Unprovoked,"B. Smee, Newcastle Herald, 2/27/2012"
2012.03.06.a,Nurse Shark,superficial lacerations to right side of face provoked accident,N,N,Female,34,"Diving, Feeding Sharks",Australia,Victoria,2012,06-Mar-12,11h30,Provoked,"The Age, 3/6/2012"
2012.03.15,Bull Shark,left forearm bitten,N,Y,Male,61,Surfing,USA,Florida,2012,15-Mar-12,15h50,Unprovoked,"WPBF.com, 3/16/2012"
2012.03.20,Bull Shark,lacerations to left calf,N,Y,Male,20,Surfing,Australia,Queensland,2012,20-Mar-12,17h00,Unprovoked,"Courier Mail, 3/20/2012"
2012.03.22,White Shark,"no injury to occupants. shark bit propelle, rope and crayfish float",N,Y,NA,NA,Crayfishing,Australia,Western Australia,2012,22-Mar-12,05h50,Boat,"Sydney Morning Herald, 3/22/2012"
2012.03.31,White Shark,fatal,Y,Y,Male,33,Scuba Diving,Australia,Western Australia,2012,31-Mar-12,09h30,Unprovoked,"Associated Press, 3/31/2012"
2012.04.03,Tiger Shark,lacerations to left foot,N,Y,Male,28,Surfing,USA,Hawaii,2012,03-Apr-12,12h38,Unprovoked,"Hawaii News Now, 4/3/2012"
2012.04.11,White Shark,minor wound to his thigh when shark bit kayak,N,Y,Male,27,Kayaking,Australia,South Australia,2012,11-Apr-12,NA,Unprovoked,"Adelaide Now, 4/12/2012"
2012.04.19.a,White Shark,fatal,Y,Y,Male,20,Body Boarding,South Africa,Western Cape Province,2012,19-Apr-12,12h30,Unprovoked,"News 24, 4/19/2012"
2012.05.06,White Shark,"no injury, shark bit paddleboard",N,Y,Female,15,Paddle Boarding,USA,California,2012,06-May-12,07h20,Unprovoked,"R. Collier, A. Brenneka"
