,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
253,2016.07.06,Unprovoked,USA,Florida,Swimming,F,"Buttocks, thigh, left hand & wrist injured",N,14h30 / 15h30,
254,2016.07.04,Provoked,AUSTRALIA,Queensland,Fishing,M,Right thigh injured by hooked pregnant female shark PROVOKED INCIDENT,N,22h00,Tawny nurse shark
255,2016.06.27,Unprovoked,USA,South Carolina,,M,Minor injury,N,16h20,3' to 4' shark
256,2016.06.25,Unprovoked,USA,North Carolina,Surfing,M,Foot injured,N,14h34,
257,2016.06.24,Unprovoked,COLUMBIA,Isla Provedencia,Scuba Diving,M,Severe bite to right hand,N,11h00,"Caribbean reef shark, 4.5'"
258,2016.06.23,Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing,M,Injuries to left leg & right hand,N,,White shark
259,2016.06.21.b,Unprovoked,USA,South Carolina,Floating,M,Lacerations and punctures to foot,N,15h25,3' to 5' shark
260,2016.06.21.a,Unprovoked,USA,Florida,Wading,M,Injuries to right calf,N,14h55,
261,2016.06.15.b,Unprovoked,USA,Hawaii,Surfing,M,Single puncture wound to arm,N,06h00,3' to 4' shark
262,2016.06.15.a,Provoked,AUSTRALIA,Western Australia,Spearfishing,M,No injury but shark punctured his wetsuit after he prodded it with his spear PROVOKED INCIDENT,N,,5' shark
263,2016.06.14,Unprovoked,USA,Texas,Floating in tube,F,Injury to lower leg,N,17h30,3' to 4' shark
264,2016.06.11,Unprovoked,USA,North Carolina,Standing,M,Laceration to wrist,N,15h00,3' shark
