,Case Number,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N/U),Time,Species 
5250,1920.11.04,Sea Disaster,PHILIPPINES,Leyte,The coastwise steamer San Basilio capsized in a typhoon,M,FATAL,Y,,
5251,1920.07.14,Invalid,USA,New York,Swimming ,M,Thought to have been taken by a shark. Body was not recovered,U,,Questionable
5252,1920.07.05.R,Unprovoked,AUSTRALIA,Torres Strait,Diving for trochus shell,M,Severe lacerations to right shoulder & arm,N,,
5253,1920.06.29,Unprovoked,USA,Florida,Swimming ,M,Knee & thigh bitten,N,18h30,
5254,1920.06.27,Provoked,CANADA,Halifax,Harpooned shark,,"No injury to occupants, but shark struck boat with such force that Chandler was flung overboard. PROVOKED INCIDENT",N,,15'
5255,1920.03.08,Unprovoked,AUSTRALIA,Queensland,"Boat capsized, swimming to shore",M,"Tossed in air by shark, sustained abrasions",N,,
5256,1920.01.24.R.b,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,Lacerations to foot,N,,
5257,1920.02.03,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Floating face down,F,Abdomen bitten,N,17h30,
5258,1920.01.24.R.a,Unprovoked,AUSTRALIA,Torres Strait,Free diving,M,FATAL,Y,,
5259,1920.01.15,Unprovoked,AUSTRALIA,New South Wales,Swimming ,M,Leg bitten. FATAL,Y,10h00,
5260,1920.00.00.b,Unprovoked,JAMAICA,Westmoreland Parish,Jumped overboard,M,FATAL,Y,,
5261,1920.00.00.b,Unprovoked,NEW ZEALAND,North Island,,F,"""Recovered""",N,,
5262,1920.00.00.a,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Splashing,M,Thigh & buttocks bitten. Not known if he survived.,N,,
5263,1919.12.30.R,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Lacerations to left leg,N,,
5264,1919.12.07,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"FATAL, left leg & calf bitten, leg surgically amputated ",Y,05h30,
5265,1919.11.18,Unprovoked,AUSTRALIA,Northern Territory,Sitting in a boat,M,Lacerations to buttocks,N,,
5266,1919.09.12,Unprovoked,COSTA RICA,Turtle Bogue,Small vessel with 13 men on board capsized crossing the bar and 6 men drowned.  The 7 survivors were swimming to shore,M,"FATAL, 6 men were taken by sharks as they neared the beach, 1 survived",Y,,
5267,1919.08.10,Unprovoked,USA,Florida,Swimming,M,Laceration to left thigh,N,Afternoon,
5268,1919.05.29,Unprovoked,USA,South Carolina,"""Swimming vigorously""",M,Left foot bitten & abraded,N,12h00,
5269,1919.04.06,Unprovoked,USA,Florida,Knocked into the water,M,FATAL,Y,,"3.7 m [12'], 1200-lb shark. Shark caught & its jaw exhibited at the Carnegie Museum"
5270,1919.03.16,Invalid,AUSTRALIA,New South Wales,Cutter capsized,M,Shark involvement not confirmed,U,Late afternon,Shark involvement prior to death unconfirmed
5271,1919.01.17,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,"Multiple injuries, left leg surgically amputated at knee",N,17h15,3.7 m to 4.3 m [12' to 14']  shark
5272,1919.01.15,Unprovoked,NEW ZEALAND,South Island,Swimming,F,Leg bitten,N,Afternoon,
5273,1919.01.09,Unprovoked,AUSTRALIA,New South Wales,Wading,M,"FATAL, right thigh bitten ",Y,07h30,12' shark
5274,1919.01.05,Unprovoked,AUSTRALIA,Queensland,Wading (shrimping),M,"FATAL, thigh bitten, leg amputated ",Y,10h00,
5275,1900.00.00.R,Boating,ITALY,,Fishing,M,No injury,N,,13' shark
5276,1919.00.00,Unprovoked,USA,Florida,Swimming,F,Leg severed,N,,
5277,1918.11.00.b,Unprovoked,USA,Hawaii,Fishing,M,FATAL,Y,,
5278,1918.11.00.a,Sea Disaster,SAN DOMINGO,60 miles north of San Domingo in the West Indies,Steamer Una wrecked with 75 laborers onboard. Survivors took to rafts & lifeboats.,M,"FATAL, ""men snatched from rafts by sharks""   ",Y,,"Tiger sharks, 2.4 m to 4.9 m [8' to 16'] "
5279,1918.09.19,Unprovoked,AUSTRALIA,Queensland,Bathing,M,FATAL,Y,,
5280,1918.03.22,Unprovoked,AUSTRALIA,New South Wales,Surfing,M,"Severe laceration to arm, necessitating surgical amputation at the elbow",N,18h00,12' shark
5281,1918.00.00,Unprovoked,AUSTRALIA,Queensland,Diving,M,Survived,N,,
5282,1917.12.15,Unprovoked,AUSTRALIA,Western Australia,Swimming,M,Lacerations to left leg,N,05h00,
5283,1917.11.00,Unprovoked,MOZAMBIQUE,Maputo Province,Wreck of the tug Magellan,M,FATAL,Y,Night,
5284,1917.09.21,Unprovoked,USA,New Jersey,"Swimming, towing an empty barrel",M,Left knee lacerated,N,,
5285,1917.09.09,Provoked,USA,Hawaii,Stuffing a shark into an automobile,M,Arm severely lacerated by shark that had been hooked and shot PROVOKED INCIDENT,N,,12' shark
5286,1917.09.00,Unprovoked,PANAMA,Colon,Swimming to shore from the Medic,M,FATAL,Y,,
5287,1917.07.18,Unprovoked,USA,Florida,Diving,M,FATAL,Y,Afternoon,
5288,1917.07.15,Sea Disaster,IRELAND,Off Ireland,Ship Mariston torpedoed & sunk,M,"FATAL, only 1 survivor",Y,Morning,
5289,1917.06.03,Unprovoked,USA,South Carolina,Swimming beside launch,M,Right arm bitten,N,P.M.,
5290,1917.05.31,Unprovoked,PHILIPPINES,Luzon Island,Swimming,M,"FATAL, abdominal cavity removed ",Y,17h45,
5291,1917.05.05,Unprovoked,KUWAIT,,Diving for pearls,M,Torso bitten,N,,
5292,1917.00.00,Unprovoked,LIBYA,Mediterranean Sea,Diving for sponges,M,"Bitten by shark, but  repelled it with his 'skandalopetra' ",N,,
5293,1916.12.30,Unprovoked,AUSTRALIA,Queensland,Bathing,M,Right calf bitten,N,A.M.,
5294,1916.12.08.b,Unprovoked,AUSTRALIA,New South Wales,Taking wife to beach & about 1 m from the shore,M,"FATAL, right arm severed, chest punctured ",Y,09h00,
5295,1916.12.08.a,Unprovoked,AUSTRALIA,New South Wales,Swimming 10 m from shore,F,Leg nipped by shark,N,08h58,
5296,1916.11.15,Provoked,PANAMA,,,M,"""Severely bitten""",N,,
5297,1916.11.10,Unprovoked,AUSTRALIA,Queensland,Swimming,M,FATAL,Y,06h00,
5298,1916.11.09,Unprovoked,AUSTRALIA,Queensland,Bathing,M,FATAL,Y,Evening,
5299,1916.10.11,Provoked,USA,Florida,"Fishing, attempted to take a netted shark",M,"FATAL, leg severely bitten, surgically amputated PROVOKED INCIDENT",Y,,
5300,1916.08.24,Unprovoked,USA,Louisiana,Netting shrimp,M,Lower left leg severely bitten & became septic. Not known if he survived,N,,
5301,1916.07.26,Unprovoked,USA,North Carolina,Fishing,M,Arm severely lacerated,N,,
5302,1916.07.13.b,Invalid,USA,New York,Swimming,F,"No attack,  no injury",U,10h00,
5303,1916.07.13,Unprovoked,USA,New York,Swimming,M,Ankle bruised,N,,
5304,1916.07.12.c,Unprovoked,USA,New Jersey,Swimming,M,"Lower left leg bitten, surgically amputated",N,,Said to involve a 2.7 m [9'] shark
5305,1916.07.12.b,Unprovoked,USA,New Jersey,Swimming (recovering remains of Stilwell) ,M,"FATAL, thigh bitten ",Y,,3 m [10'] shark
5306,1916.07.12.a,Unprovoked,USA,New Jersey,Swimming,M,"FATAL, legs & torso bitten ",Y,A.M.,
5307,1916.07.11,Sea Disaster,BAHAMAS,,S.S. Ramos foundered in a hurricane. Captain & 14 crew in water-logged lifeboats. ,M,"FATAL.  When the survivors were rescued next day they were clubbing sharks with oars. ""Sharks were so thick that it was difficult to row""",Y,,
5308,1916.07.08,Unprovoked,SPAIN,Gran Canaria,Diving,M,Survived,N,,
5309,1916.07.07,Unprovoked,PHILIPPINES,Luzon Island,Bathing,M,Right foot severed,N,,
5310,1916.07.06,Unprovoked,USA,New Jersey,Swimming,M,FATAL,Y,Afternoon,Thought to involve a 2.6 m [8.5'] white shark
5311,1916.07.01,Unprovoked,USA,New Jersey,Swimming,M,"FATAL, left leg bitten",Y,17h00,Thought to involve a 2.6 m [8.5'] white shark
5312,1916.06.30,Unprovoked,USA,New Jersey,Swimming,M,Heel bitten,N,,
5313,1916.06.24.R,Unprovoked,ATLANTIC OCEAN,,Jumped overboard from Norwegian steamship Venator,M,Presumed FATAL,Y,,
5314,1916.06.23,Provoked,USA,Florida,,M,Leg bitten by shark hooked shark PROVOKED INCIDENT,N,,
5315,1916.04.25.R,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,FATAL,Y,,
5316,1916.04.03,Unprovoked,AUSTRALIA,Victoria,Clinging to overturned rowing boat,M,FATAL,Y,,
5317,1916.03.19,Unprovoked,AUSTRALIA,New South Wales,Bathing,M,Minor lacerations to heel,N,15h30,
5318,1915.12.09.R,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,"Arm severed, lacerations to thigh",N,,
5319,1915.11.10,Unprovoked,AUSTRALIA,Queensland,Bathing,M,Severe bite to arm,N,,
5320,1915.11.08,Unprovoked,AUSTRALIA,New South Wales,Bathing,M,Severe lacerations to feet & ankles,N,,
5321,1915.08.03,Unprovoked,USA,Florida,,M,Laceration to left leg,N,,
5322,1915.07.06.a.R,Unprovoked,MEXICO,Tamaulipas,Fishing,M,FATAL,Y,,
5323,1915.07.06.a.R,Unprovoked,MEXICO,,Wading,M,FATAL,Y,,
5324,1915.05.15.R,Invalid,EGYPT,,Fell overboard,M,Shark involvement not confirmed,U,,Shark involvement prior to death unconfirmed
5325,1915.03.29,Unprovoked,AUSTRALIA,Torres Strait,Skin diving for trepang but at surface next to the boat,M,"Shoulder bitten. Hana, one of the rescuers, fended shark off with an oar, then shark bit oar in two",N,,3 m [10'] shark
5326,1915.02.06,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Foot bitten,N,,
5327,1915.01.13,Invalid,NEW ZEALAND,North Island,Fishing,M,Death may have been due to drowning,U,,Shark involvement prior to death unconfirmed
5328,1915.01.01,Unprovoked,AUSTRALIA,New South Wales,Bathing,M,FATAL,Y,,
5329,1915.00.00,Invalid,USA,Florida,,M,"Fatal, drowning or scavenging",U,,"Reported to involve a 3.7 m [12'] shark, possibly a white shark"
5330,1914.12.04.R,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Lacerations to right thigh and knee,N,,
5331,1914.10.17,Sea Disaster,SAMOA,Apolima Strait,Copra vessel with 19 on board was wrecked in a squall,F,Thigh bitten,N,,
5332,1914.09.26.R,Unprovoked,JAMAICA,Kingston Parish,Fell overboard,M,FATAL,Y,,"A 20' shark known as ""Old Tom"""
5333,1914.09.09,Unprovoked,USA,Louisiana,Swimming,M,FATAL,Y,,
5334,1914.07.15.R,Unprovoked,CROATIA,Zadar County,Washing clothes,F,"No injury, shark grabbed clothes",N,,1.5 m [5'] shark
5335,1914.07.08.R,Provoked,USA,Louisiana,Fishing,M,PROVOKED INCIDENT    Legs severed by shark entangled in his net,N,,
5336,1914.07.07,Unprovoked,CROATIA, Primorje-Gorski Kotar County,,M,"No injury, shark nudged raft and circled for 2 hrs.",N,,6 m shark
5337,1914.06.12,Boating,MONTENEGRO,Adriatic Sea,Fishing boat,M,"No injury, shark bit paddle and stern of boat",N,07h00,
5338,1914.06.10,Unprovoked,AUSTRALIA,Victoria,Bathing,M,FATAL,Y,Afternoon,
5339,1914.05.31,Sea Disaster,NEW CALEDONIA,South Province,Swimming ashore from swamped 13-ft boat,M,FATAL x 2,Y,,
5340,1914.05.14,Provoked,USA,Florida,Fishing,F,PROVOKED INCIDENT Lacerations to right hand by hooked shark,N,Afternoon,3' shark
5341,1914.03.14.R,Invalid,USA,Florida,Swimming,M,His remains were recovered from a shark 3 years after his disappearance - Probable drowning / scavenging,U,,Shark involvement prior to death unconfirmed
5342,1914.03.10.R,Sea Disaster,GUYANA,Essequibo,Boat swamped,M,FATAL,Y,,
5343,1914.03.03,Unprovoked,USA,Hawaii,Washed into sea while picking opihi & attacked by 2 large sharks ,M,FATAL,Y,,
5344,1914.02.09.R,Unprovoked,AUSTRALIA,South Australia,Wading,M,Lacerations to foot,N,,said to involve a tiger shark
5345,1914.02.03,Unprovoked,AUSTRALIA,New South Wales,Canoeing,M,Lacerations to arms,N,,
5346,1914.01.17.R,Unprovoked,AUSTRALIA,Queensland,Wading,F,Laceration to leg,N,,
5347,1914.00.00,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,,F,No details,U,,
5348,1913.12.30.R,Provoked,USA,Florida,Fishing for mackerel,,No injury to occupants but hull splintered by harpooned shark PROVOKED INCIDENT,N,,13' shark
5349,1913.12.26.R,Sea Disaster,CUBA,,,M,FATAL,Y,,
5350,1913.11.27,Unprovoked,NIGERIA,Lagos ,Boat swamped,M,FATAL,Y,,
5351,1913.11.21,Unprovoked,AUSTRALIA,Queensland,Swimming,M,Calf severely bitten;  leg surgically amputated,N,,
5352,1913.09.21,Unprovoked,USA,Florida,,M,Major injuries but survived,N,,Said to involve a 2.4 m [8'] hammerhead shark
5353,1913.09.03,Provoked,CROATIA,Istria County,,M,Badly bitten by a shark dragged onboard PROVOKED INCIDENT,N,,2 m shark
5354,1913.08.27.R,Invalid,USA,New Jersey,,M,Man's leg recovered from 800-lb shark,U,,Shark involvement prior to death unconfirmed
5355,1913.08.27.R,Invalid,USA,New Jersey,,F,Female foot recovered from shark,U,,Shark involvement prior to death unconfirmed
5356,1913.08.26.R,Invalid,ITALY,Trieste,,,Human casualties,U,,Shark involvement prior to death unconfirmed
5357,1913.07.12,Unprovoked,USA,South Carolina,,M,FATAL,Y,,
5358,1913.07.10.R,Unprovoked,COSTA RICA,,Swimming,M,FATAL,Y,,
5359,1913.05.21,Provoked,USA,Florida,Fishing,M,"Forefinger of right hand bitten by a ""dead"" shark PROVOKED INCIDENT",N,,
5360,1913.05.02,Provoked,AUSTRALIA,New South Wales,Hauling in net,M,Lacerations to thigh by netted shark PROVOKED INCIDENT,N,,
5361,1913.03.27,Unprovoked,SAMOA,Upolu Island,,M,Leg severed,N,,
5362,1913.01.00,Unprovoked,AUSTRALIA,Torres Strait,Diving,M,"Head, neck & left shoulder bitten",N,,Tiger shark 
5363,1913.00.00.d,Unprovoked,REUNION,Saint-Denis,Swimming after his hat,M,FATAL,Y,,
5364,1913.00.00.c,Unprovoked,REUNION,5aint-Denis,Swimming,M,FATAL,Y,,
5365,1913.00.00.a,Unprovoked,AUSTRALIA,Victoria,,M,Arm severed,N,,
5366,1912.11.30.R,Sea Disaster,PHILIPPINES,,Swimming from foundered vessel,F,FATAL,Y,,
5367,1912.08.30,Unprovoked,USA,Georgia,Swimming,M,FATAL,Y,,
5368,1912.07.23,Unprovoked,USA,South Carolina,Swimming,M,Toes severed,N,Afternoon,8' shark
5369,1912.07.06.R,Unprovoked,SOLOMON ISLANDS,Central Province,Bathing,M,FATAL,Y,,
5370,1912.05.04,Invalid,SOUTH AFRICA,KwaZulu-Natal,,M,,U,,Shark involvement prior to death unconfirmed
5371,1912.03.18,Unprovoked,NEW ZEALAND,North Island,Swimming,M,"""Slight laceration to leg""",N,,
5372,1912.02.22,Provoked,AUSTRALIA,Western Australia,Hard hat diving,M,"No injury, shark nipped diving suit after he prodded the shark PROVOKED INCIDENT ",N,,
5373,1912.02.19,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,Left calf & heel bitten,N,16h00,
5374,1912.02.03,Unprovoked,NEW CALEDONIA,South Province,Swimming,M,Left shoulder & both legs bitten,N,,
5375,1912.01.26,Unprovoked,AUSTRALIA,New South Wales,Swimming,M,FATAL,Y,15h00,"2.8 m [9'3""] whaler shark captured 3 days later with his remains in its gut"
5376,1912.01.13.R,Unprovoked,FIJI,Viti Levu group,Washed overboard,M,FATAL,Y,,
5377,1912.01.06,Unprovoked,AUSTRALIA,New South Wales,,M,Thigh & lower abdomen severely bitten,N,,"C. macrurus captured 48 hours after attack with tissue removed from man in its gut; species identified by G.P. Whitley,  reported as C. obscurus by  R. Steel"
5378,1912.01.01,Unprovoked,AUSTRALIA,Queensland,Bathing,M,FATAL,Y,Morning,
5379,1912.00.00,Unprovoked,SPAIN,Balearics,Fell into the water,M,FATAL,Y,,White shark
5380,1911.11.08,Invalid,USA,Florida,,M,"Cause of death undetermined. 3.6 m [11'9""] shark seen carrying body. Next day, shark was killed & Antoine's entire body was found in its gut.",U,,Shark involvement prior to death unconfirmed
5381,1911.10.26,Unprovoked,USA,South Carolina,Fell overboard from steamship Rio Grande,M,FATAL,Y,,
5382,1911.10.25,Unprovoked,AUSTRALIA,Queensland,Diving,M,Calves bitten,N,Evening,
5383,1911.09.23,Unprovoked,USA,Texas,Jumped overboard to rescue companion,M,FATAL,Y,Early morning,
5384,1911.09.20,Unprovoked,USA,Florida,Fell overboard & swimming,M,FATAL,Y,,
5385,1911.09.17,Unprovoked,USA,Florida,Bathing,M,Left arm & thigh bitten,N,,
5386,1911.07.31.R,Unprovoked,SPAIN,Málaga ,Bathing,M,FATAL,Y,,
5387,1911.07.16.R,Provoked,USA,Delaware,Fishing,M,"Hooked shark bit his leg, knee to ankle PROVOKED INCIDENT",N,,
5388,1911.05.09,Unprovoked,SOUTH AFRICA,Western Cape Province,Bathing,M,"FATAL, partial remains recovered",Y,"""Early evening""",
5389,1911.05.01.R,Provoked,USA,Texas,Fishing,M,Bitten on left leg by hooked shark PROVOKED INCIDENT,N,,5' shark
5390,1911.05.01,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,M,FATAL,Y,,
5391,1911.04.08.R,Boating,NEW ZEALAND,Chatham Islands,Fishing,,"No injury to occupants, shark bit boat",N,,
5392,1911.03.29.R,Unprovoked,AUSTRALIA,Torres Strait,Swimming,M,FATAL,Y,,
5393,1911.01.04,Sea Disaster,AUSTRALIA,Western Australia,3-masted steel barque Glenbank foundered during a cyclone,M,Minor injuries,N,,
5394,1911.00.00.b,Unprovoked,USA,Texas,Swimming,M,Minor injury to feet,N,,
5395,1911.00.00.a,Unprovoked,NEW ZEALAND,North Island,Fishing,M,FATAL,Y,,
5396,1910.12.25.R,Invalid,CROATIA, Primorje-Gorski Kotar County,,M,FATAL?,U,,Questionable
5397,1910.12.23.R,Sea Disaster,AUSTRALIA,Western Australia,Shipwrecked pearling schooner,M,FATAL,Y,,
5398,1910.11.28,Provoked,NORTH ATLANTIC OCEAN,Georges Bank,Fishing,M,Right hand severely bitten by netted shark PROVOKED INCIDENT,N,,Angel shark
5399,1910.11.24,Unprovoked,AUSTRALIA,Queensland,Bathing,M,Foot bitten,N,,Said to involve  9' blue shark
5400,1910.06.25.R,Unprovoked,MEXICO,,Swimming,M,Leg bitten,N,,
5401,1910.06.08.R,Sea Disaster,MOZAMBIQUE,Zambesi River,"Steamer Durao struck rock & filled, boats capsized, passengers & crew tried to swim to shore",,"FATAL, 3 passengers & 14 crew taken by sharks, captain, 1 passenger & 2 crew survived",Y,,
5402,1910.05.16.R,Invalid,USA,Alabama,"Unknown, their unoccupied yawlboat was recovered",M,Presumed drowned & bodies taken by sharks,U,,Shark involvement prior to death unconfirmed
5403,1910.03.31,Unprovoked,PANAMA,Colón Province,Fell overboard from USS cruiser Tacoma,M,FATAL,Y,,
5404,1910.03.08,Unprovoked,NEW ZEALAND,North Island,Swimming,M,Lacerations to foot,N,Evening,6' shark
5405,1910.03.00,Invalid,USA,Hawaii,"Hard hat diving, laying some charge of powder",M,No injury,U,,Invalid
5406,1910.02.16,Unprovoked,AUSTRALIA,Western Australia,Surf bathing,M,"Shoulder, back & leg bitten",N,Night,5.5' to 6' shark
5407,1910.01.26,Unprovoked,AUSTRALIA,New South Wales,,M,FATAL,Y,,
5408,1910.00.00.b,Invalid,USA,Hawaii,"Fishing, thrown into water by heavy sea, clinging to rocks at the water line",M,"Body bitten by shark/s, but death may have been due to drowning",U,,Shark involvement prior to death unconfirmed
5409,1910.00.00.a,Unprovoked,PHILIPPINES,Luzon Island,Swimming,M,"Calf removed, not known if he survived ",U,,6 m [20'] shark
5410,1909.12.26.R,Unprovoked,USA,Florida,,M,Severe lacerations to arm,N,,
5411,1909.12.15.R,Unprovoked,AUSTRALIA,New South Wales,Fell overboard,M,FATAL,Y,,
5412,1909.12.05,Provoked,AUSTRALIA,New South Wales,Fishing,M,3 fingers bitten by hooked shark PROVOKED INCIDENT,N,,7' shark
5413,1909.11.14,Sea Disaster,INDONESIA,30 nm from Singapore,The 2379-ton French steamer La Seyne collied with British steamer Onda & sank in minutes. Passengers jumped overboard expecting to be picked up by Ondas boats,,"FATAL, 101 people perished, including commander, Joseph Couailhac. Iit was reported that a shoal of sharks circled  passengers in the water and dragged scores of people to their deaths Of the 61 survivors, many were injured by sharks",Y,,
5414,1909.09.04.R,Provoked,USA,Delaware,Seine netting,M,Abrasion to leg from netted shark PROVOKED INCIDENT,N,,5' shark
5415,1909.08.13,Unprovoked,USA,Florida,Fell overboard from fishing schooner Halycon,M,FATAL,Y,,
5416,1909.07.24,Unprovoked,USA,New York,Fell overboard while fishing for sharks,M,Right leg bitten,N,Afternoon,
5417,1909.07.15,Unprovoked,USA,Florida,Swimming,M,Hip & thigh lacerated,N,,
5418,1909.06.26.a.R,Unprovoked,MEXICO,Guerrero,Bathing,F,FATAL,Y,,
5419,1909.06.26.b.R,Unprovoked,SOUTH AFRICA,Western Cape Province,,M,Remains of soldier in uniform. Probable drowning & scavenging,Y,,18-foot shark
5420,1909.06.18,Sea Disaster,AUSTRALIA,Queensland,"1446-ton Norwegian barque Errol, bound from Peru to Newcastle with 22 on board wrecked. Survivors shelterd on the wreck of the Annasona. Subsequently the Master, his wife & 4 children perished along with several crew. Survivors (5) were rescued 7/12/1909",M,"FATAL, only his legs, still in sea-boots, were recovered ",Y,,
5421,1909.04.27.R,Provoked,SPAIN,Andalucia,Fishing,M,Shark knocked him down after he grabbed it by the tail. No injury.   PROVOKED INCIDENT,N,,
5422,1909.04.10,Invalid,USA,Hawaii,Reported swept away by waves while gathering opihi,F, Search party saw a large shark devour what appeared to be part of her body,U,,Questionable
